
20230220	21:49:07	d61fbeaa-c2a6-4151-be07-117bb513fe04	POST	undefined	/employees
20230220	21:49:43	0e26d11e-2820-4495-9107-c647802a3678	POST	undefined	/employees
20230220	21:50:38	25609b43-9993-4460-bc8d-77698f29519f	POST	undefined	/employees
20230220	21:51:26	eed024b9-9073-4049-963a-4d1295900538	POST	undefined	/employees
20230220	21:51:47	b0cb9081-2884-4a25-939e-0c42a3fd9d6e	POST	undefined	/employees
20230220	21:59:02	b04b209d-fab4-4256-aee7-05b34370214f	POST	undefined	/employees
20230220	22:00:54	5f508ffd-d809-499d-bcd7-83d8e56b5364	POST	undefined	/employees
20230220	22:01:31	d898c0c1-cf07-468e-8728-bc6cbdaf68df	POST	undefined	/employees
20230220	22:04:11	a31b75d9-0d14-4e9b-86cb-d901eec5f3af	POST	undefined	/employees
20230220	22:05:12	6af3db5c-ff0a-4b26-8b14-3579f3483dfa	POST	undefined	/employees
20230220	22:12:08	e13a44e7-2bf6-4632-92c1-c1a5fc882e6e	PUT	undefined	/employees
20230220	22:13:05	aca70a46-1bcf-482c-88e8-9edeed1e87d5	DELETE	undefined	/employees
20230220	22:13:55	de2d4229-0727-494d-878f-92d205432a67	GET	undefined	/employees/1
20230221	21:50:32	b6ceefee-baac-49fb-8d6d-9e92c223fc29	POST	undefined	/register
20230221	22:01:44	99e63aaf-30bf-4325-ab39-be3eb575b168	POST	undefined	/register
20230221	22:06:47	70146a85-2ef8-4166-9337-07b814537e71	POST	undefined	/register
20230221	22:08:27	cea23887-a3c6-45ea-ae19-649ef7ac9175	POST	undefined	/register
20230222	22:35:07	3133a4d3-b1c5-4f93-9dc4-618dfa63445f	POST	undefined	/auth
20230222	22:35:48	7f09c722-2783-4b51-ad66-f6c9fbebf751	DELETE	undefined	/employees
20230222	22:35:52	1ce6b51f-2c23-499f-beaf-c597b0af0c75	GET	undefined	/employees
20230222	22:36:35	f41a92a8-bb23-4e12-b93e-21698c4e19e6	GET	undefined	/employees/1
20230222	22:36:55	e39b0453-cc5c-4cf2-9ccd-dd2e131d672a	GET	undefined	/employees
20230222	22:37:07	63d5c632-5a9c-46ec-8952-6e65ecb9d68c	POST	undefined	/employees
20230222	22:37:23	c54997b4-4518-423b-995c-e30e52ff6d86	GET	undefined	/employees
20230222	22:38:21	f3d946df-a190-4805-9926-3de33b99a97c	POST	undefined	/auth
20230222	22:38:51	c2853599-11ff-4f15-b39a-f5e48821c6a8	POST	undefined	/auth
20230222	22:38:57	9c3cb4d2-de4e-4669-9427-d0a71658f0e2	POST	undefined	/auth
20230222	22:40:28	30b43d4f-e32c-434d-b869-013bb79bf515	POST	undefined	/auth
20230222	22:40:43	680eeceb-83a6-4187-b1ad-f80b51637a65	POST	undefined	/auth
20230222	22:40:55	6e7cb4d6-3a42-4f4d-b379-095c76816831	POST	undefined	/register
20230222	22:41:07	b490cbf4-ef0f-47e4-9139-c97eff53afb4	POST	undefined	/auth
20230222	22:41:13	0e319c28-32c9-492c-85c7-d1cd70078e52	POST	undefined	/auth
20230222	22:41:54	f4833c73-6420-42f6-b386-1818b2b162d6	POST	undefined	/register
20230228	21:39:43	ac8c66ad-8701-4f77-975a-3c973deaebaa	POST	undefined	/auth
20230228	21:40:33	adbc8945-bc2d-4ac2-85e7-32f8ea3928bc	POST	undefined	/register
